date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160805,30580,31280,30500,31220,6958850,9.35,1.25,14.08,0.994215478,0.990937532,1.004298527,1.012147382,1.000197872,1.000670383,1.003231185,1.005156241
20160808,31320,31500,31120,31380,11125150,9.35,1.25,14.08,0.996776768,0.991479369,1.004980897,1.011721541,0.999847077,1.000139471,1.00266641,1.004602735
20160809,31480,31580,31140,31340,9023200,9.35,1.25,14.08,1.002980016,0.997506655,1.011203735,1.017158244,0.999406133,0.999406133,1.001887503,1.003839601
20160810,31340,31400,30680,30820,12340350,9.35,1.25,14.08,1.009970393,1.006742371,1.020633127,1.025885338,1.000395858,1.000503874,1.002934376,1.004927333
20160811,30820,31180,30520,31180,10533600,9.35,1.25,14.08,1.003598716,1.000865931,1.014200331,1.019097194,0.999928027,1.000053986,1.002402778,1.004429312
20160812,31180,31400,30880,30900,10474850,9.35,1.25,14.08,1.003634923,1.003148778,1.016238109,1.021030375,1.000431841,1.000488098,1.00278652,1.004879055
20160816,30900,31520,30900,31360,10843100,9.35,1.25,14.08,0.993963985,0.994316106,1.006807404,1.011299516,1.000341843,1.00040484,1.002695345,1.004830249
20160817,31380,31400,31020,31320,7446450,9.35,1.25,14.08,0.988553518,0.987533896,0.999252094,1.00315355,1.000035976,1.000269881,1.002508751,1.004686171
20160818,31340,32880,31320,32800,18327050,9.35,1.25,14.08,0.996189224,0.992747359,1.003726049,1.0072253,1.00004497,1.000242887,1.002432681,1.004637757
20160819,32760,33500,32720,33500,16805150,9.35,1.25,14.08,0.997178362,0.992550183,1.002509405,1.005565625,1.000035973,1.000290102,1.002443004,1.004681966
20160822,33480,33840,33180,33300,12612200,9.35,1.25,14.08,0.990480254,0.982431471,0.990912643,0.993473958,0.999496317,0.999613198,1.00169917,1.003968064
20160823,33300,33880,33140,33740,11545700,9.35,1.25,14.08,0.992655237,0.982565179,0.98990267,0.991935541,1.000314791,1.000425014,1.002461387,1.00478323
20160824,33600,33640,32720,33060,15938550,9.35,1.25,14.08,0.994925439,0.984376645,0.990580509,0.992208182,0.999649199,0.999651446,1.00160573,1.003974886
